,category,brand,skintype,product,age,sex,score
0,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,33,f,4
1,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,24,f,5
2,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,34,f,5
3,스킨,코스알엑스 (COSRX),건성,풀핏 프로폴리스 시너지 토너,25,f,4
4,스킨,코스알엑스 (COSRX),건성,풀핏 프로폴리스 시너지 토너,25,f,5
5,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,27,f,5
6,스킨,코스알엑스 (COSRX),지성,풀핏 프로폴리스 시너지 토너,16,f,5
7,스킨,코스알엑스 (COSRX),건성,풀핏 프로폴리스 시너지 토너,27,f,5
8,스킨,코스알엑스 (COSRX),건성,풀핏 프로폴리스 시너지 토너,30,f,4
9,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,26,f,5
10,스킨,코스알엑스 (COSRX),건성,풀핏 프로폴리스 시너지 토너,24,f,4
11,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,23,f,5
12,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,36,f,4
13,스킨,코스알엑스 (COSRX),건성,풀핏 프로폴리스 시너지 토너,50,f,5
14,스킨,코스알엑스 (COSRX),지성,풀핏 프로폴리스 시너지 토너,17,f,5
15,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,28,f,5
16,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,34,f,5
17,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,23,f,4
18,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,25,f,4
19,스킨,코스알엑스 (COSRX),중성,풀핏 프로폴리스 시너지 토너,29,f,5
20,스킨,코스알엑스 (COSRX),건성,풀핏 프로폴리스 시너지 토너,25,f,5
21,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,26,f,5
22,스킨,코스알엑스 (COSRX),지성,풀핏 프로폴리스 시너지 토너,24,f,5
23,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,23,f,5
24,스킨,코스알엑스 (COSRX),건성,풀핏 프로폴리스 시너지 토너,31,f,5
25,스킨,코스알엑스 (COSRX),지성,풀핏 프로폴리스 시너지 토너,24,f,5
26,스킨,코스알엑스 (COSRX),건성,풀핏 프로폴리스 시너지 토너,23,f,3
27,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,24,f,4
28,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,25,f,4
29,스킨,코스알엑스 (COSRX),지성,풀핏 프로폴리스 시너지 토너,24,f,5
30,스킨,코스알엑스 (COSRX),건성,풀핏 프로폴리스 시너지 토너,22,f,4
31,스킨,코스알엑스 (COSRX),건성,풀핏 프로폴리스 시너지 토너,25,f,5
32,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,18,f,5
33,스킨,코스알엑스 (COSRX),건성,풀핏 프로폴리스 시너지 토너,24,f,5
34,스킨,코스알엑스 (COSRX),중성,풀핏 프로폴리스 시너지 토너,25,f,5
35,스킨,코스알엑스 (COSRX),건성,풀핏 프로폴리스 시너지 토너,33,f,5
36,스킨,코스알엑스 (COSRX),지성,풀핏 프로폴리스 시너지 토너,24,f,5
37,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,28,f,3
38,스킨,코스알엑스 (COSRX),중성,풀핏 프로폴리스 시너지 토너,19,f,4
39,스킨,코스알엑스 (COSRX),건성,풀핏 프로폴리스 시너지 토너,23,f,5
40,스킨,코스알엑스 (COSRX),건성,풀핏 프로폴리스 시너지 토너,23,f,5
41,스킨,코스알엑스 (COSRX),건성,풀핏 프로폴리스 시너지 토너,28,f,5
42,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,31,f,5
43,스킨,코스알엑스 (COSRX),건성,풀핏 프로폴리스 시너지 토너,26,f,5
44,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,28,f,5
45,스킨,코스알엑스 (COSRX),건성,풀핏 프로폴리스 시너지 토너,28,f,4
46,스킨,코스알엑스 (COSRX),지성,풀핏 프로폴리스 시너지 토너,19,f,5
47,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,25,f,5
48,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,17,f,5
49,스킨,코스알엑스 (COSRX),건성,풀핏 프로폴리스 시너지 토너,31,f,4
50,스킨,코스알엑스 (COSRX),건성,풀핏 프로폴리스 시너지 토너,23,f,5
51,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,30,f,4
52,스킨,코스알엑스 (COSRX),복합성,풀핏 프로폴리스 시너지 토너,20,f,2
